item,condition,label,critical_position,target_article,article_distractor,next_position,target_noun,noun_distractor,article_cloze,noun_cloze,sentence,alternative,QTYPE,Answer_1_Yes,Question
1,expected,husb_1_expected,19,an,idea,20,apple,assert,82,97,The old wives' tale says that if you want to keep the doctor away then you should eat an apple a day.,x-x-x seen eaten' owed okay cent ha sell sale pm anti mid pushed jack mass laws income pre idea assert sir nor.,NQ,,
1,unexpected,husb_1_unexpected,19,a,idea,20,carrot,assert,0,0,The old wives' tale says that if you want to keep the doctor away then you should eat a carrot a day.,x-x-x seen eaten' owed okay cent ha sell sale pm anti mid pushed jack mass laws income pre idea assert sir nor.,NQ,,
2,expected,husb_2_expected,18,a,bet,19,carrot,euros,98,100,"For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot from the fridge.","x-x-x dad broadleaf jack sir together anti miss afford glad owns, mom etc ago pray yeah hell bet euros hurt goes depend.",Q,1,Did they build a snowman?
2,unexpected,husb_2_unexpected,18,an,bet,19,apple,euros,0,3,"For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple from the fridge.","x-x-x dad broadleaf jack sir together anti miss afford glad owns, mom etc ago pray yeah hell bet euros hurt goes depend.",Q,1,Did they build a snowman?
3,expected,husb_3_expected,12,an,sale,13,accent,slices,55,100,It was difficult to understand the foreign professor because he had an accent when he spoke.,x-x-x dear boyfriend ha everywhere cup follows somewhere weekend etc feet sale slices jack lie stats.,NQ,,
3,unexpected,husb_3_unexpected,12,a,sale,13,lisp,slices,39,7,It was difficult to understand the foreign professor because he had a lisp when he spoke.,x-x-x dear boyfriend ha everywhere cup follows somewhere weekend etc feet sale slices jack lie stats.,NQ,,
4,expected,husb_4_expected,16,a,spot,17,lisp,teas,86,93,Katie did not like to say words with the letter s because she spoke with a lisp and was embarrassed.,x-x-x hell sun yeah ha anti month cent site pushed duty eastern buy solar sell spot teas pre cars utilization.,NQ,,
4,unexpected,husb_4_unexpected,16,an,spot,17,accent,teas,0,20,Katie did not like to say words with the letter s because she spoke with an accent and was embarrassed.,x-x-x hell sun yeah ha anti month cent site pushed duty eastern buy solar sell spot teas pre cars utilization.,NQ,,
5,expected,husb_5_expected,19,an,ha,20,apology,raiders,89,93,Dale was very sorry for what he had said to Bernadette and he knew that he owed her an apology because she was still upset.,x-x-x hell yeah rates eat anti hear link hall wind Supervises sad sun holy sale map trek wall ha raiders nations jack goal march boost.,Q,1,Was Dale sorry?
5,unexpected,husb_5_unexpected,19,a,ha,20,cheque,raiders,0,0,Dale was very sorry for what he had said to Bernadette and he knew that he owed her a cheque because she was still upset.,x-x-x hell yeah rates eat anti hear link hall wind Supervises sad sun holy sale map trek wall ha raiders nations jack goal march boost.,Q,1,Was Dale sorry?
6,expected,husb_6_expected,14,a,ride,15,cheque,locate,93,100,The bakery did not accept credit cards so Peter would have to write a cheque to the owner.,x-x-x bolted yeah etc genius decade ocean eyes Wings miles lake el types ride locate guys ago occur.,NQ,,
6,unexpected,husb_6_unexpected,14,an,ride,15,apology,locate,0,0,The bakery did not accept credit cards so Peter would have to write an apology to the owner.,x-x-x bolted yeah etc genius decade ocean eyes Wings miles lake el types ride locate guys ago occur.,NQ,,
7,expected,husb_7_expected,21,an,kid,22,aeroplane,ankles,77,80,"Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an aeroplane that actually flew.","x-x-x door whom hour nights yeah ha hear end etc threw, mom Topped Tomorrow holy lie feels prices wife types kid ankles hate thoughts ruby.",NQ,,
7,unexpected,husb_7_unexpected,21,a,kid,22,kite,ankles,18,0,"Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a kite that actually flew.","x-x-x door whom hour nights yeah ha hear end etc threw, mom Topped Tomorrow holy lie feels prices wife types kid ankles hate thoughts ruby.",NQ,,
8,expected,husb_8_expected,12,a,sir,13,kite,soften,61,97,The day was breezy so the boy went outside to fly a kite in the park.,x-x-x seen non binder jack etc nor sale website girl app sir soften pre cent whom.,Q,1,Was the day breezy?
8,unexpected,husb_8_unexpected,12,an,sir,13,aeroplane,soften,0,34,The day was breezy so the boy went outside to fly an aeroplane in the park.,x-x-x seen non binder jack etc nor sale website girl app sir soften pre cent whom.,Q,1,Was the day breezy?
9,expected,husb_9_expected,11,an,seat,12,echo,owns,75,93,"Surrounded by mountains, Lola shouted across the valley and heard an echo in the distance.","x-x-x nice submitted, Coli lawsuit decide wish exists pre cases seat owns laws etc requires.",NQ,,
9,unexpected,husb_9_unexpected,11,a,seat,12,bird,owns,2,3,"Surrounded by mountains, Lola shouted across the valley and heard a bird in the distance.","x-x-x nice submitted, Coli lawsuit decide wish exists pre cases seat owns laws etc requires.",NQ,,
10,expected,husb_10_expected,8,a,bet,9,bird,info,25,80,The tweeting in the treetops sounded like a bird to Melissa.,x-x-x locating mid glad absolved hurting fund bet info jobs Expires.,NQ,,
10,unexpected,husb_10_unexpected,8,an,bet,9,echo,info,0,3,The tweeting in the treetops sounded like an echo to Melissa.,x-x-x locating mid glad absolved hurting fund bet info jobs Expires.,NQ,,
11,expected,husb_11_expected,18,an,sir,19,octopus,sleeps,84,87,"When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus in hiding.","x-x-x lie evoke bland pre fund heretics, ha eastern distinct cent sell adopting china kid asks sad sir sleeps us laptop.",Q,2,Did the diver see a treasure?
11,unexpected,husb_11_unexpected,18,a,sir,19,fish,sleeps,9,7,"When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was a fish in hiding.","x-x-x lie evoke bland pre fund heretics, ha eastern distinct cent sell adopting china kid asks sad sir sleeps us laptop.",Q,2,Did the diver see a treasure?
12,expected,husb_12_expected,17,a,anti,18,fish,ponds,66,100,"Marge hated baiting the hook, but she knew that it was the only way to catch a fish without using a lure.","x-x-x scope pallets jack troy, pre etc lake vote map note rose held sir fund aware anti ponds schools shall may ante.",NQ,,
12,unexpected,husb_12_unexpected,17,an,anti,18,octopus,ponds,2,13,"Marge hated baiting the hook, but she knew that it was the only way to catch an octopus without using a lure.","x-x-x scope pallets jack troy, pre etc lake vote map note rose held sir fund aware anti ponds schools shall may ante.",NQ,,
13,expected,husb_13_expected,13,an,hate,14,artist,levels,61,97,On a street corner in Paris Kim had her portrait painted by an artist for three euros.,x-x-x lady starts errors sir Worse Bug fat cent operates android pm hate levels pain knows fetus.,NQ,,
13,unexpected,husb_13_unexpected,13,a,hate,14,student,levels,36,0,On a street corner in Paris Kim had her portrait painted by a student for three euros.,x-x-x lady starts errors sir Worse Bug fat cent operates android pm hate levels pain knows fetus.,NQ,,
14,expected,husb_14_expected,19,a,mind,20,student,starts,73,90,"Betsy had no desire to enter the working world, so decided to stay at the university and remain a student for a few more semesters.","x-x-x door sir refers dark yours etc seconds using, ha parking el holy hear done represents your tongue mind starts anti oh ago site sprinkled.",Q,2,Did Betsy find a job?
14,unexpected,husb_14_unexpected,19,an,mind,20,artist,starts,5,0,"Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist for a few more semesters.","x-x-x door sir refers dark yours etc seconds using, ha parking el holy hear done represents your tongue mind starts anti oh ago site sprinkled.",Q,2,Did Betsy find a job?
15,expected,husb_15_expected,24,an,guys,25,education,users,59,90,"Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an education while growing up.","x-x-x furthermore global gasoline etc component ha bed miss Refund test el term minute, million al sale click guy yeah governments anti tonight guys users sorry seconds god.",NQ,,
15,unexpected,husb_15_unexpected,24,a,guys,25,book,users,27,0,"Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a book while growing up.","x-x-x furthermore global gasoline etc component ha bed miss Refund test el term minute, million al sale click guy yeah governments anti tonight guys users sorry seconds god.",NQ,,
16,expected,husb_16_expected,16,a,etc,17,book,happens,75,93,"James is an avid reader, so for his birthday his sister decided to give him a book about Africa.","x-x-x vote pm troy allies, jack cent guy replaced pre myself seconds gas yeah anti etc happens earth Prefer.",NQ,,
16,unexpected,husb_16_unexpected,16,an,etc,17,education,happens,2,0,"James is an avid reader, so for his birthday his sister decided to give him an education about Africa.","x-x-x vote pm troy allies, jack cent guy replaced pre myself seconds gas yeah anti etc happens earth Prefer.",NQ,,
17,expected,husb_17_expected,17,an,oh,18,election,worries,70,62,"When the representative retired in the middle of his term, the state was forced to hold an election in his district.","x-x-x cent quantitatively hurting ha thus forget buy pick till, miss knows yeah screen goes lady oh worries glad mom somebody.",NQ,,
17,unexpected,husb_17_unexpected,17,a,oh,18,parade,worries,20,0,"When the representative retired in the middle of his term, the state was forced to hold a parade in his district.","x-x-x cent quantitatively hurting ha thus forget buy pick till, miss knows yeah screen goes lady oh worries glad mom somebody.",NQ,,
18,expected,husb_18_expected,12,a,ha,13,parade,refers,95,87,Without the floats and the marching bands it wasn't much of a parade this year.,x-x-x cent downed pre yeah declares guilt sir cancer skin eyes ha refers glad anti.,NQ,,
18,unexpected,husb_18_unexpected,12,an,ha,13,election,refers,0,0,Without the floats and the marching bands it wasn't much of an election this year.,x-x-x cent downed pre yeah declares guilt sir cancer skin eyes ha refers glad anti.,NQ,,
19,expected,husb_19_expected,20,an,cent,21,affair,rivers,98,100,"When her husband started staying late at the office every night, Joanne began to suspect that he was having an affair with someone at work.","x-x-x miss anymore awesome streams goal view goes happen views aware, Compel exist etc amongst vote map sir review cent rivers guys website pre jack.",NQ,,
19,unexpected,husb_19_unexpected,20,a,cent,21,fight,rivers,2,0,"When her husband started staying late at the office every night, Joanne began to suspect that he was having a fight with someone at work.","x-x-x miss anymore awesome streams goal view goes happen views aware, Compel exist etc amongst vote map sir review cent rivers guys website pre jack.",NQ,,
20,expected,husb_20_expected,16,a,el,17,fight,faced,75,90,"Whenever Josh had too much to drink, he became belligerent and would try to start a fight with someone in the bar.","x-x-x Dish dear cent ones pm yards, ha county confederacy hall china nor sun shall el faced soul realize lake came ran.",Q,2,Would Josh sing if drunk?
20,unexpected,husb_20_unexpected,16,an,el,17,affair,faced,9,0,"Whenever Josh had too much to drink, he became belligerent and would try to start an affair with someone in the bar.","x-x-x Dish dear cent ones pm yards, ha county confederacy hall china nor sun shall el faced soul realize lake came ran.",Q,2,Would Josh sing if drunk?
21,expected,husb_21_expected,30,an,le,31,allowance,argues,60,77,"Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an allowance to spend as she wished.","x-x-x anti walker ago comes darkness hear weird pre jack, Positron myself highest cent page quick el map upon allies uses announces wild etc ha march yeah feet greatest le argues guys types al east trucks.",NQ,,
21,unexpected,husb_21_unexpected,30,a,le,31,pound,argues,9,3,"Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a pound to spend as she wished.","x-x-x anti walker ago comes darkness hear weird pre jack, Positron myself highest cent page quick el map upon allies uses announces wild etc ha march yeah feet greatest le argues guys types al east trucks.",NQ,,
22,expected,husb_22_expected,17,a,gets,18,pound,argues,52,53,"Andrew complained that the only place he could afford was Poundland, after his grandmother gave him a pound for helping her.","x-x-x instructor seat etc yeah yours mind funny heroes sad Sobriquet, guess ago understands ways may gets argues hear happens hour.",NQ,,
22,unexpected,husb_22_unexpected,17,an,gets,18,allowance,argues,2,17,"Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an allowance for helping her.","x-x-x instructor seat etc yeah yours mind funny heroes sad Sobriquet, guess ago understands ways may gets argues hear happens hour.",NQ,,
23,expected,husb_23_expected,24,an,ha,25,emergency,rates,70,93,"When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an emergency while she was at work.","x-x-x miss ways outcome yeah want proposing, Bayonet holy etc yours ride grow thus feet awesome pre queen anti sentiment cent died le ha rates enjoy ago lord am laws.",NQ,,
23,unexpected,husb_23_unexpected,24,a,ha,25,fire,rates,0,3,"When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of a fire while she was at work.","x-x-x miss ways outcome yeah want proposing, Bayonet holy etc yours ride grow thus feet awesome pre queen anti sentiment cent died le ha rates enjoy ago lord am laws.",NQ,,
24,expected,husb_24_expected,18,a,soul,19,fire,anymore,75,93,Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report a fire at their address.,x-x-x jack learn autosomal yeah sir yes determines' cent hate demographic fact mark laws shall hope except soul anymore le types follows.,Q,1,Did Harris see smoke?
24,unexpected,husb_24_unexpected,18,an,soul,19,emergency,anymore,0,40,Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report an emergency at their address.,x-x-x jack learn autosomal yeah sir yes determines' cent hate demographic fact mark laws shall hope except soul anymore le types follows.,Q,1,Did Harris see smoke?
25,expected,husb_25_expected,23,an,lake,24,iron,depart,59,97,Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use an iron one of these days.,x-x-x till cent spot rate jack sale boost bar premiere map refers fact anti etc coast laws el users fund uses nor lake depart hear rise march miss.,NQ,,
25,unexpected,husb_25_unexpected,23,a,lake,24,hanger,depart,2,0,Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use a hanger one of these days.,x-x-x till cent spot rate jack sale boost bar premiere map refers fact anti etc coast laws el users fund uses nor lake depart hear rise march miss.,NQ,,
26,expected,husb_26_expected,15,a,met,16,hanger,cores,84,87,I wanted to put my coat in the closet but I could not find a hanger anywhere.,x-x-x animal cup nor mid warn ha lose felony son le coast laws hall met cores sciences.,NQ,,
26,unexpected,husb_26_unexpected,15,an,met,16,iron,cores,0,0,I wanted to put my coat in the closet but I could not find an iron anywhere.,x-x-x animal cup nor mid warn ha lose felony son le coast laws hall met cores sciences.,NQ,,
27,expected,husb_27_expected,16,an,mark,17,accident,follows,70,97,No matter how safely you drive your car chances are someday you'll be involved in an accident with another vehicle.,x-x-x prices feet thesis pre china lake whom absence soul genesis author al congress cup mark follows anti removed explore.,NQ,,
27,unexpected,husb_27_unexpected,16,a,mark,17,race,follows,27,0,No matter how safely you drive your car chances are someday you'll be involved in a race with another vehicle.,x-x-x prices feet thesis pre china lake whom absence soul genesis author al congress cup mark follows anti removed explore.,NQ,,
28,expected,husb_28_expected,23,a,ha,24,race,appears,61,27,When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a race earlier that day.,x-x-x miss anti glad denied hate lord fund deport winningest mom soul lady born whom dad sale bill worry code yeah card ha appears clients rise eat.,NQ,,
28,unexpected,husb_28_unexpected,23,an,ha,24,accident,appears,36,67,When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been an accident earlier that day.,x-x-x miss anti glad denied hate lord fund deport winningest mom soul lady born whom dad sale bill worry code yeah card ha appears clients rise eat.,NQ,,
29,expected,husb_29_expected,17,a,hear,18,flat,allows,66,90,Margot had finally decided to buy a house in the suburbs after a year of renting a flat in the city.,x-x-x guys percent product fish sir etc rates miss eat liquids users ha upon jack persona hear allows god cent seem.,Q,2,Did Margot want to buy a car?
29,unexpected,husb_29_unexpected,17,an,hear,18,apartment,allows,11,90,Margot had finally decided to buy a house in the suburbs after a year of renting an apartment in the city.,x-x-x guys percent product fish sir etc rates miss eat liquids users ha upon jack persona hear allows god cent seem.,Q,2,Did Margot want to buy a car?
30,expected,husb_30_expected,19,a,pm,20,studio,suppose,77,90,Instead of recording a live album the band decided they would have more control if they recorded in a studio without a lot of background noise.,x-x-x pre testament sir guys yours eat suck tonight laws funny card jack justice anti mark policies walk pm suppose awesome le ran dad lieutenant filed.,NQ,,
30,unexpected,husb_30_unexpected,19,an,pm,20,apartment,suppose,0,0,Instead of recording a live album the band decided they would have more control if they recorded in an apartment without a lot of background noise.,x-x-x pre testament sir guys yours eat suck tonight laws funny card jack justice anti mark policies walk pm suppose awesome le ran dad lieutenant filed.,NQ,,
31,expected,husb_31_expected,16,an,jack,17,invitation,applies,73,77,Sue had wanted to go to Tim's birthday party but she was still waiting for an invitation from him.,x-x-x sale prince etc nor ha Barbs contains doubt cent pre port types comment miss jack applies feet grow.,NQ,,
31,unexpected,husb_31_unexpected,16,a,jack,17,message,applies,11,0,Sue had wanted to go to Tim's birthday party but she was still waiting for a message from him.,x-x-x sale prince etc nor ha Barbs contains doubt cent pre port types comment miss jack applies feet grow.,NQ,,
32,expected,husb_32_expected,17,a,met,18,message,playoffs,64,80,When I called his house Nolan was not home but his mother said she could relay a message to him.,x-x-x ha animal jack exist Cocoa date mark cent anti pre happen sale base super acids met playoffs fat etc.,NQ,,
32,unexpected,husb_32_unexpected,17,an,met,18,invitation,playoffs,0,3,When I called his house Nolan was not home but his mother said she could relay an invitation to him.,x-x-x ha animal jack exist Cocoa date mark cent anti pre happen sale base super acids met playoffs fat etc.,NQ,,
33,expected,husb_33_expected,14,an,lie,15,elephant,extends,73,53,The highlight of Jack's trip to India was when he got to ride an elephant in the parade.,x-x-x subjected wish Nuclei tons cent Ratio boys file miss skin mean inch lie extends pm knew trends.,NQ,,
33,unexpected,husb_33_unexpected,14,a,lie,15,bicycle,extends,11,0,The highlight of Jack's trip to India was when he got to ride a bicycle in the parade.,x-x-x subjected wish Nuclei tons cent Ratio boys file miss skin mean inch lie extends pm knew trends.,NQ,,
34,expected,husb_34_expected,7,a,lack,8,bicycle,deposits,95,97,You never forget how to ride a bicycle once you've learned.,x-x-x hours animal door fund onto lack deposits glad author eastern.,NQ,,
34,unexpected,husb_34_unexpected,7,an,lack,8,elephant,deposits,0,30,You never forget how to ride an elephant once you've learned.,x-x-x hours animal door fund onto lack deposits glad author eastern.,NQ,,
35,expected,husb_35_expected,14,an,yeah,15,umbrella,providers,93,97,Because it frequently rains in London it's a good idea to always carry an umbrella with you.,x-x-x cent girlfriend envoy dad Expect glad whom jobs died al united units yeah providers lose knew.,NQ,,
35,unexpected,husb_35_unexpected,14,a,yeah,15,newspaper,providers,5,0,Because it frequently rains in London it's a good idea to always carry a newspaper with you.,x-x-x cent girlfriend envoy dad Expect glad whom jobs died al united units yeah providers lose knew.,NQ,,
36,expected,husb_36_expected,24,a,yeah,25,newspaper,playoffs,75,77,As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a newspaper when he saw what the forecast was.,x-x-x cent turkey jack grow exists elemental soul want guys pre role Saga rooster vote detecting anti anymore link el exist mom etc yeah playoffs lose ha mark lord hear regulate mid.,Q,1,Was Carl going to work?
36,unexpected,husb_36_unexpected,24,an,yeah,25,umbrella,playoffs,2,7,As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy an umbrella when he saw what the forecast was.,x-x-x cent turkey jack grow exists elemental soul want guys pre role Saga rooster vote detecting anti anymore link el exist mom etc yeah playoffs lose ha mark lord hear regulate mid.,Q,1,Was Carl going to work?
37,expected,husb_37_expected,14,an,cent,15,architect,criticize,82,80,Frank wanted to design a very modern house so he sought advice from an architect to select the fixtures.,x-x-x review etc except oh hear listen enjoy guys pm treaty affect days cent criticize loss decade ago tolerate.,NQ,,
37,unexpected,husb_37_unexpected,14,a,cent,15,plumber,criticize,11,0,Frank wanted to design a very modern house so he sought advice from a plumber to select the fixtures.,x-x-x review etc except oh hear listen enjoy guys pm treaty affect days cent criticize loss decade ago tolerate.,NQ,,
38,expected,husb_38_expected,15,a,etc,16,plumber,journeys,93,93,When the pipe broke in the bathroom Felicia looked through the phonebook to find a plumber who could come and take a look at the job.,x-x-x cent rely weird sure glad anywhere Decimal summit culture sir befriends miss laws etc journeys pre basis yeah fund ones nor seem add yes else.,NQ,,
38,unexpected,husb_38_unexpected,15,an,etc,16,architect,journeys,0,0,When the pipe broke in the bathroom Felicia looked through the phonebook to find an architect who could come and take a look at the job.,x-x-x cent rely weird sure glad anywhere Decimal summit culture sir befriends miss laws etc journeys pre basis yeah fund ones nor seem add yes else.,NQ,,
39,expected,husb_39_expected,13,an,ago,14,infection,brands,93,97,Because Bart did not clean his wound properly he ended up getting an infection on his leg.,x-x-x Hike date west yours sir clash eligible el queen oh airport ago brands boys sold der.,NQ,,
39,unexpected,husb_39_unexpected,13,a,ago,14,tattoo,brands,2,0,Because Bart did not clean his wound properly he ended up getting a tattoo on his leg.,x-x-x Hike date west yours sir clash eligible el queen oh airport ago brands boys sold der.,NQ,,
40,expected,husb_40_expected,20,a,lake,21,tattoo,operators,55,93,The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a tattoo the previous night.,x-x-x Gamers React maiden sir glad relies pre gain existed fiscal okay till mind whose coast ha anti bailey lake operators sea honestly china.,NQ,,
40,unexpected,husb_40_unexpected,20,an,lake,21,infection,operators,0,0,The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten an infection the previous night.,x-x-x Gamers React maiden sir glad relies pre gain existed fiscal okay till mind whose coast ha anti bailey lake operators sea honestly china.,NQ,,
41,expected,husb_41_expected,16,an,cent,17,adult,blame,91,100,In order to get into an R-rated movie children under 17 must be accompanied by an adult or legal guardian.,x-x-x worth sure guys yeah etc Dioxide rates findings miles ha lake el assumptions vote cent blame le taxes websites.,NQ,,
41,unexpected,husb_41_unexpected,16,a,cent,17,parent,blame,9,7,In order to get into an R-rated movie children under 17 must be accompanied by a parent or legal guardian.,x-x-x worth sure guys yeah etc Dioxide rates findings miles ha lake el assumptions vote cent blame le taxes websites.,NQ,,
42,expected,husb_42_expected,16,a,am,17,parent,hoping,91,37,Older children often have a harder time than younger children dealing with the loss of a parent who has cared for them.,x-x-x everyone truth cent pm abroad knew holy inquiry congress miracle hope till inch king am hoping yeah sale flame sir anti.,NQ,,
