item,condition,label,critical_position,target_article,article_distractor,next_position,target_noun,noun_distractor,article_cloze,noun_cloze,sentence,alternative,QTYPE,Answer_1_Yes,Question
42,unexpected,husb_42_unexpected,16,an,am,17,adult,hoping,0,13,Older children often have a harder time than younger children dealing with the loss of an adult who has cared for them.,x-x-x everyone truth cent pm abroad knew holy inquiry congress miracle hope till inch king am hoping yeah sale flame sir anti.,NQ,,
43,expected,husb_43_expected,6,a,el,7,stamp,shapes,86,93,Jeffrey mailed the letter without a stamp so the post office would never deliver it.,x-x-x softer guy pushed nations el shapes wind eyes whom myself super types degrees dad.,Q,2,Did Hannah mail the letter?
43,unexpected,husb_43_unexpected,6,an,el,7,envelope,shapes,2,40,Jeffrey mailed the letter without an envelope so the post office would never deliver it.,x-x-x softer guy pushed nations el shapes wind eyes whom myself super types degrees dad.,Q,2,Did Hannah mail the letter?
44,expected,husb_44_expected,21,an,miss,22,envelope,phases,77,90,When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up an envelope along with it.,x-x-x Cater hell hall cent link etc anywhere foot hate hence cricket pre jack anti mid framework ha semi need miss phases goals rise ago.,NQ,,
44,unexpected,husb_44_unexpected,21,a,miss,22,stamp,phases,0,47,When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up a stamp along with it.,x-x-x Cater hell hall cent link etc anywhere foot hate hence cricket pre jack anti mid framework ha semi need miss phases goals rise ago.,NQ,,
45,expected,husb_45_expected,19,an,ago,20,amateur,endings,73,67,The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be an amateur in order to compete.,x-x-x additionally inconsistent holy inequalities fair jack yours laughed amazing buy shall passionate birth dear cent anti le ago endings hear wrote same centers.,NQ,,
45,unexpected,husb_45_unexpected,19,a,ago,20,beginner,endings,5,17,The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be a beginner in order to compete.,x-x-x additionally inconsistent holy inequalities fair jack yours laughed amazing buy shall passionate birth dear cent anti le ago endings hear wrote same centers.,NQ,,
46,expected,husb_46_expected,17,a,eyes,18,beginner,examines,82,63,There are always ways to improve your game whether you're an advanced tennis player or merely a beginner you just need to practice a lot.,x-x-x fan prince cent lord seasons glad yeah welcome finish le remained essays coffee pre panels eyes examines laws anti lake van congress died whom.,NQ,,
46,unexpected,husb_46_unexpected,17,an,eyes,18,amateur,examines,16,20,There are always ways to improve your game whether you're an advanced tennis player or merely an amateur you just need to practice a lot.,x-x-x fan prince cent lord seasons glad yeah welcome finish le remained essays coffee pre panels eyes examines laws anti lake van congress died whom.,NQ,,
47,expected,husb_47_expected,21,an,oh,22,excuse,occur,91,100,Amelia did not want to go to the bar with her friends after seeing the movie so she made up an excuse for why she needed to go home early.,x-x-x kind jack luck pm anti ha ago cent fact yeah follows truth planet etc shall mid sir lake rate oh occur feet tree rose minute map pre fund worry.,Q,2,Did Amelia go home late?
47,unexpected,husb_47_unexpected,21,a,oh,22,story,occur,7,13,Amelia did not want to go to the bar with her friends after seeing the movie so she made up a story for why she needed to go home early.,x-x-x kind jack luck pm anti ha ago cent fact yeah follows truth planet etc shall mid sir lake rate oh occur feet tree rose minute map pre fund worry.,Q,2,Did Amelia go home late?
48,expected,husb_48_expected,11,a,etc,12,story,ensure,89,87,Before little Gloria went to sleep she wanted to hear a story from her mother.,x-x-x wonder Selves duty same types link global map laws etc ensure jobs rate occurs.,NQ,,
48,unexpected,husb_48_unexpected,11,an,etc,12,excuse,ensure,0,0,Before little Gloria went to sleep she wanted to hear an excuse from her mother.,x-x-x wonder Selves duty same types link global map laws etc ensure jobs rate occurs.,NQ,,
49,expected,husb_49_expected,24,an,el,25,onion,towers,20,40,At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced an onion with his knife.,x-x-x spent Potatoes non sir anti etc guy imagine jack videos gain web bred hate guys mean achieve sell vote yes sale orient el towers cars know filed.,NQ,,
49,unexpected,husb_49_unexpected,24,a,el,25,finger,towers,2,50,At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced a finger with his knife.,x-x-x spent Potatoes non sir anti etc guy imagine jack videos gain web bred hate guys mean achieve sell vote yes sale orient el towers cars know filed.,NQ,,
50,expected,husb_50_expected,15,a,glad,16,finger,judged,27,37,Marie wanted to sample a tiny bit of the sauce so she daintily dipped a finger into the pot.,x-x-x chance cent dishes sir rely whom etc met pulls hate hear isometry expire glad judged jobs ago deny.,NQ,,
50,unexpected,husb_50_unexpected,15,an,glad,16,onion,judged,0,3,Marie wanted to sample a tiny bit of the sauce so she daintily dipped an onion into the pot.,x-x-x chance cent dishes sir rely whom etc met pulls hate hear isometry expire glad judged jobs ago deny.,NQ,,
51,expected,husb_51_expected,14,an,etc,15,author,levels,75,90,After Joanne's first book was published she finally felt she could call herself an author in front of her peers.,x-x-x Semiarid users guys hell advantage drop weather tree ball march anti kingdom etc levels eat shall hear jack marsh.,Q,1,Was this Joanne's first book?
51,unexpected,husb_51_unexpected,14,a,etc,15,success,levels,25,3,After Joanne's first book was published she finally felt she could call herself a success in front of her peers.,x-x-x Semiarid users guys hell advantage drop weather tree ball march anti kingdom etc levels eat shall hear jack marsh.,Q,1,Was this Joanne's first book?
52,expected,husb_52_expected,11,a,tree,12,success,nations,86,87,Alicia's first client was a failure but her second was a success and made her a lot of money.,x-x-x these makers glad ha awesome pre cent myself our tree nations jack west bill pm else el shall.,NQ,,
52,unexpected,husb_52_unexpected,11,an,tree,12,author,nations,5,0,Alicia's first client was a failure but her second was an author and made her a lot of money.,x-x-x these makers glad ha awesome pre cent myself our tree nations jack west bill pm else el shall.,NQ,,
53,expected,husb_53_expected,10,an,mind,11,actor,comments,70,93,Lance had moved to Hollywood in hopes of becoming an actor but so far he had only done a few commercials.,x-x-x wife saint jack Disorders eat throw skin believed mind comments ask el cup god etc lake tree ha whom methodology.,NQ,,
53,unexpected,husb_53_unexpected,10,a,mind,11,director,comments,25,7,Lance had moved to Hollywood in hopes of becoming a director but so far he had only done a few commercials.,x-x-x wife saint jack Disorders eat throw skin believed mind comments ask el cup god etc lake tree ha whom methodology.,NQ,,
54,expected,husb_54_expected,17,a,el,18,director,tells,93,77,From a young age Steven had an interest in filmmaking and had always dreamed of being a director when he grew up.,x-x-x send rates thus Devils guys pm republic laws sovereigns bar sir please runners camp noted el tells wait walk flow bank.,Q,2,Was Steven interested in art?
54,unexpected,husb_54_unexpected,17,an,el,18,actor,tells,5,30,From a young age Steven had an interest in filmmaking and had always dreamed of being an actor when he grew up.,x-x-x send rates thus Devils guys pm republic laws sovereigns bar sir please runners camp noted el tells wait walk flow bank.,Q,2,Was Steven interested in art?
55,expected,husb_55_expected,19,an,met,20,audience,policies,68,93,Dana enjoyed singing in private but was scared to death at the thought of performing in front of an audience at the concert.,x-x-x destiny suppose sir imagine die god galaxy al basis link uses reached glad agreements pm wrote lord met policies son guy follows.,NQ,,
55,unexpected,husb_55_unexpected,19,a,met,20,crowd,policies,25,60,Dana enjoyed singing in private but was scared to death at the thought of performing in front of a crowd at the concert.,x-x-x destiny suppose sir imagine die god galaxy al basis link uses reached glad agreements pm wrote lord met policies son guy follows.,NQ,,
56,expected,husb_56_expected,13,a,hall,14,crowd,opens,100,93,Carrie's father had always joked that two is company but three is a crowd for him.,x-x-x happen cent prices otter soul etc pre profile mid march fund hall opens anti ago.,NQ,,
56,unexpected,husb_56_unexpected,13,an,hall,14,audience,opens,0,0,Carrie's father had always joked that two is company but three is an audience for him.,x-x-x happen cent prices otter soul etc pre profile mid march fund hall opens anti ago.,NQ,,
57,expected,husb_57_expected,8,an,soul,9,escalator,promoters,34,69,Damon preferred climbing stairs over going up an escalator because it had given him the chance to get a little exercise.,x-x-x inspector surveyed comply hate sorry god soul promoters opinion ha mom award goes yeah happen le anti cell itself sessions.,Q,1,Did Damon prefer stairs over lifts?
57,unexpected,husb_57_unexpected,8,a,soul,9,wheelchair,promoters,11,0,Damon preferred climbing stairs over going up a wheelchair because it had given him the chance to get a little exercise.,x-x-x inspector surveyed comply hate sorry god soul promoters opinion ha mom award goes yeah happen le anti cell itself sessions.,Q,1,Did Damon prefer stairs over lifts?
58,expected,husb_58_expected,21,a,bet,22,wheelchair,premieres,66,73,The doctors told Monica not to use her legs too much so soon after her surgery so she often used a wheelchair when moving around to rest her legs.,x-x-x ignored luck Builds lord card etc guy lets sell ones le cent click map belongs link jack green mine bet premieres hate theory league god semi sir deny.,Q,2,Could Monica use stairs very often?
58,unexpected,husb_58_unexpected,21,an,bet,22,escalator,premieres,0,0,The doctors told Monica not to use her legs too much so soon after her surgery so she often used an escalator when moving around to rest her legs.,x-x-x ignored luck Builds lord card etc guy lets sell ones le cent click map belongs link jack green mine bet premieres hate theory league god semi sir deny.,Q,2,Could Monica use stairs very often?
59,expected,husb_59_expected,20,an,card,21,airport,include,52,73,The pilot had to make an emergency landing in the middle of the desert because he was nowhere near an airport or a safe place to land.,x-x-x apart pre oh cent el celebrate authors mom glad choose talk girl unlike comment sell sex divorce jack card include yeah le whom asked soul lady.,NQ,,
59,unexpected,husb_59_unexpected,20,a,card,21,city,include,16,7,The pilot had to make an emergency landing in the middle of the desert because he was nowhere near a city or a safe place to land.,x-x-x apart pre oh cent el celebrate authors mom glad choose talk girl unlike comment sell sex divorce jack card include yeah le whom asked soul lady.,NQ,,
60,expected,husb_60_expected,17,a,held,18,city,cases,16,90,Hannah wanted to live in a small town but her husband preferred to live closer to a city because of his job.,x-x-x recent cent anti mind etc award laws pre sir suppose thousands yeah cell losses bit held cases awesome pm jack nor.,NQ,,
60,unexpected,husb_60_unexpected,17,an,held,18,airport,cases,0,27,Hannah wanted to live in a small town but her husband preferred to live closer to an airport because of his job.,x-x-x recent cent anti mind etc award laws pre sir suppose thousands yeah cell losses bit held cases awesome pm jack nor.,NQ,,
61,expected,husb_61_expected,16,an,dad,17,offense,imagine,70,34,Although the basketball team's defence was very strong they did not have so much of an offense since the middle of the season.,x-x-x cent regardless greedy breathe kid lady forget kill bus text lord dear hall yeah dad imagine sorry cell define own born killed.,NQ,,
61,unexpected,husb_61_unexpected,16,a,dad,17,coach,imagine,18,0,Although the basketball team's defence was very strong they did not have so much of a coach since the middle of the season.,x-x-x cent regardless greedy breathe kid lady forget kill bus text lord dear hall yeah dad imagine sorry cell define own born killed.,NQ,,
62,expected,husb_62_expected,14,a,etc,15,coach,hence,98,70,Ever since Mr.Barnes had moved away Bobby's football team had been left without a coach and thus lost all their games.,x-x-x whole Subspaces nice favor hear Demesne yourself yeah cool holy cent seconds etc hence eat tons cell sir click shall.,NQ,,
62,unexpected,husb_62_unexpected,14,an,etc,15,offense,hence,0,0,Ever since Mr.Barnes had moved away Bobby's football team had been left without an offense and thus lost all their games.,x-x-x whole Subspaces nice favor hear Demesne yourself yeah cool holy cent seconds etc hence eat tons cell sir click shall.,NQ,,
63,expected,husb_63_expected,13,an,etc,14,idea,thus,75,83,The group had been brainstorming all day but they still didn't have an idea for their project.,x-x-x yours hell cent insufficiency jack lord sir port floor animal laws etc thus pre feels follows.,Q,2,Did the group reach a conclusion?
63,unexpected,husb_63_unexpected,13,a,etc,14,name,thus,25,0,The group had been brainstorming all day but they still didn't have a name for their project.,x-x-x yours hell cent insufficiency jack lord sir port floor animal laws etc thus pre feels follows.,Q,2,Did the group reach a conclusion?
64,expected,husb_64_expected,18,a,lake,19,name,held,68,50,The guys didn't know what to call their band so Trent told everyone to come up with a name and they would vote.,x-x-x else prince anti bill map laws coast thus port Colon fund benefits jack cent cell term lake held feet east civil jury.,Q,1,Did Trent suggest to vote?
64,unexpected,husb_64_unexpected,18,an,lake,19,idea,held,11,77,The guys didn't know what to call their band so Trent told everyone to come up with an idea and they would vote.,x-x-x else prince anti bill map laws coast thus port Colon fund benefits jack cent cell term lake held feet east civil jury.,Q,1,Did Trent suggest to vote?
65,expected,husb_65_expected,15,an,al,16,island,agree,73,93,Being from the mainland Karen never got used to the feeling of living on an island and being so removed from everything.,x-x-x jack send responds Hairy funny pre fund el plus follows pm posted bet al agree sir award cent package anti percentage.,Q,1,Was Karen from the mainland?
65,unexpected,husb_65_unexpected,15,a,al,16,ship,agree,14,7,Being from the mainland Karen never got used to the feeling of living on a ship and being so removed from everything.,x-x-x jack send responds Hairy funny pre fund el plus follows pm posted bet al agree sir award cent package anti percentage.,Q,1,Was Karen from the mainland?
66,expected,husb_66_expected,23,a,pm,24,ship,types,100,23,Sandra decided that she would work for a cruise line for a year before starting university although she had never been on a ship and did not know how to swim.,x-x-x weapons lake miss click cent yeah oh metres hear anti than eyes impact republic understand yourself sell mid exist wall le pm types sir jack sun laws bill web tens.,NQ,,
66,unexpected,husb_66_unexpected,23,an,pm,24,island,types,0,7,Sandra decided that she would work for a cruise line for a year before starting university although she had never been on an island and did not know how to swim.,x-x-x weapons lake miss click cent yeah oh metres hear anti than eyes impact republic understand yourself sell mid exist wall le pm types sir jack sun laws bill web tens.,NQ,,
67,expected,husb_67_expected,23,an,ha,24,owl,res,86,87,As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see an owl staring down at her.,x-x-x Hopefully genesis knew waiter al know owed miss goals sir alveoli costs league sold etc equated non agency web fund laws ha res polling file sale rule.,NQ,,
67,unexpected,husb_67_unexpected,23,a,ha,24,cat,res,14,0,As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see a cat staring down at her.,x-x-x Hopefully genesis knew waiter al know owed miss goals sir alveoli costs league sold etc equated non agency web fund laws ha res polling file sale rule.,NQ,,
68,expected,husb_68_expected,20,a,vote,21,cat,hath,82,27,Every time they went for walks Sylvia's dog Rex would break into a run as soon as he spotted a cat but luckily Rex couldn't climb trees.,x-x-x yeah hear glad map lacks Locative pope Zinc worse floor anti met laws sir deny shop etc dignity vote hath pre urgency Levy criminal indie email.,NQ,,
68,unexpected,husb_68_unexpected,20,an,vote,21,owl,hath,18,10,Every time they went for walks Sylvia's dog Rex would break into a run as soon as he spotted an owl but luckily Rex couldn't climb trees.,x-x-x yeah hear glad map lacks Locative pope Zinc worse floor anti met laws sir deny shop etc dignity vote hath pre urgency Levy criminal indie email.,NQ,,
69,expected,husb_69_expected,25,an,file,26,ocean,occurs,73,93,The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was an ocean and he should be careful of the waves.,x-x-x yours yeah Pests sale cent Depends sir anymore door dad ha onto hate pre respond faculty kill expansion shop etc jack vote lord file occurs hear pm online laws trigger al hall sells.,NQ,,
69,unexpected,husb_69_unexpected,25,a,file,26,mirage,occurs,5,0,The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was a mirage and he should be careful of the waves.,x-x-x yours yeah Pests sale cent Depends sir anymore door dad ha onto hate pre respond faculty kill expansion shop etc jack vote lord file occurs hear pm online laws trigger al hall sells.,NQ,,
70,expected,husb_70_expected,23,a,dad,24,mirage,toured,68,57,As the men stumbled across the desert they thought they saw an oasis on the horizon but it turned out to be a mirage so they continued walking.,x-x-x cent else eruption murder sale judged yeah economy file hour sir synod hate bill satisfy self pre credit wish kid text dad toured hear jack statement happens.,Q,2,Was there an oasis on the horizon?
70,unexpected,husb_70_unexpected,23,an,dad,24,ocean,toured,16,3,As the men stumbled across the desert they thought they saw an oasis on the horizon but it turned out to be an ocean so they continued walking.,x-x-x cent else eruption murder sale judged yeah economy file hour sir synod hate bill satisfy self pre credit wish kid text dad toured hear jack statement happens.,Q,2,Was there an oasis on the horizon?
71,expected,husb_71_expected,25,an,map,26,order,lacked,57,90,The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take an order from her customers.,x-x-x grenades miss seen else worse pre happen wish abortive federation feet lord ha mid borders anti vote web west laws bill lake upon map lacked hear rate describes.,NQ,,
71,unexpected,husb_71_unexpected,25,a,map,26,compliment,lacked,0,0,The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take a compliment from her customers.,x-x-x grenades miss seen else worse pre happen wish abortive federation feet lord ha mid borders anti vote web west laws bill lake upon map lacked hear rate describes.,NQ,,
72,expected,husb_72_expected,16,a,etc,17,compliment,estimates,73,90,Marcy did not deal well with praise and had never really learned how to take a compliment even from her friends.,x-x-x dear god anti skin role bailey sell pre china prices biggest eat el yeah etc estimates wear jack uses prevent.,NQ,,
72,unexpected,husb_72_unexpected,16,an,etc,17,order,estimates,0,0,Marcy did not deal well with praise and had never really learned how to take an order even from her friends.,x-x-x dear god anti skin role bailey sell pre china prices biggest eat el yeah etc estimates wear jack uses prevent.,NQ,,
73,expected,husb_73_expected,15,an,sir,16,animal,talked,77,80,Carly wasn't sure if the Venus flytrap was classified as a plant or as an animal but it seemed to have characteristics of both.,x-x-x review cent bill view Facto satiric anti prevention ha am firms guys pm sir talked jobs jack prince vote plus transplantation seat send.,NQ,,
73,unexpected,husb_73_unexpected,15,a,sir,16,flower,talked,18,7,Carly wasn't sure if the Venus flytrap was classified as a plant or as a flower but it seemed to have characteristics of both.,x-x-x review cent bill view Facto satiric anti prevention ha am firms guys pm sir talked jobs jack prince vote plus transplantation seat send.,NQ,,
74,expected,husb_74_expected,14,a,fund,15,flower,deaths,80,93,While Natasha was strolling through the colourful gardens she reached down and picked a flower up off the ground.,x-x-x Unfolds guys diffusion prevent etc totalling honored sir seconds jack hate update fund deaths pre gain laws expect.,Q,1,Was Natasha in the gardens? 
74,unexpected,husb_74_unexpected,14,an,fund,15,animal,deaths,0,0,While Natasha was strolling through the colourful gardens she reached down and picked an animal up off the ground.,x-x-x Unfolds guys diffusion prevent etc totalling honored sir seconds jack hate update fund deaths pre gain laws expect.,Q,1,Was Natasha in the gardens? 
75,expected,husb_75_expected,20,an,oh,21,element,finals,68,60,The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just an element that hadn't been combined.,x-x-x achieving staying fantastic etc till shall anti yours pre aims miss tour captivity sir foot chanting lady shop oh finals kids asleep guys struggle.,NQ,,
75,unexpected,husb_75_unexpected,20,a,oh,21,liquid,finals,30,0,The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just a liquid that hadn't been combined.,x-x-x achieving staying fantastic etc till shall anti yours pre aims miss tour captivity sir foot chanting lady shop oh finals kids asleep guys struggle.,NQ,,
76,expected,husb_76_expected,22,a,were,23,liquid,clients,73,90,Orlando thought that glass was a solid but when he held it under the Bunsen burner it melted and turned into a liquid that could be sculpted.,x-x-x reality bill roman yeah ago meets hear hate eat ways oh queen runs Burghs toured buy vocals name advice fund were clients week birth guy reprieve.,NQ,,
76,unexpected,husb_76_unexpected,22,an,were,23,element,clients,0,0,Orlando thought that glass was a solid but when he held it under the Bunsen burner it melted and turned into an element that could be sculpted.,x-x-x reality bill roman yeah ago meets hear hate eat ways oh queen runs Burghs toured buy vocals name advice fund were clients week birth guy reprieve.,NQ,,
77,expected,husb_77_expected,20,an,fund,21,egg,courts,70,100,Violet was just learning how to make an omelette so her father began by showing her how to crack an egg in the kitchen.,x-x-x pre cent function bill el upon pm modifies sir rest unless click guy deserve hell etc al cliff fund courts ha glad belongs.,NQ,,
77,unexpected,husb_77_unexpected,20,a,fund,21,window,courts,0,0,Violet was just learning how to make an omelette so her father began by showing her how to crack a window in the kitchen.,x-x-x pre cent function bill el upon pm modifies sir rest unless click guy deserve hell etc al cliff fund courts ha glad belongs.,NQ,,
78,expected,husb_78_expected,16,a,glad,17,window,refer,75,97,Because they were playing baseball so close to the house the children ended up shattering a window and destroying a nest that some birds had built on the sill.,x-x-x lord anti happens syndrome rise sleep sir etc thank hate anywhere yours pm biologists glad refer okay accordance win rely guys cent debut jobs basis mom hour jure.,NQ,,
78,unexpected,husb_78_unexpected,16,an,glad,17,egg,refer,0,0,Because they were playing baseball so close to the house the children ended up shattering an egg and destroying a nest that some birds had built on the sill.,x-x-x lord anti happens syndrome rise sleep sir etc thank hate anywhere yours pm biologists glad refer okay accordance win rely guys cent debut jobs basis mom hour jure.,NQ,,
79,expected,husb_79_expected,15,an,cup,16,alien,updates,95,97,Bob claims to be from outer space but nobody believes that he is actually an alien from another planet.,x-x-x plenty cent pm miss drank guess buy miller timeline jack sit yeah congress cup updates anti comment honour.,Q,2,Does Bob claim to be from Canada?
79,unexpected,husb_79_unexpected,15,a,cup,16,tourist,updates,0,0,Bob claims to be from outer space but nobody believes that he is actually a tourist from another planet.,x-x-x plenty cent pm miss drank guess buy miller timeline jack sit yeah congress cup updates anti comment honour.,Q,2,Does Bob claim to be from Canada?
80,expected,husb_80_expected,24,a,map,25,tourist,delete,95,97,With his khaki shorts and his loud Hawaiian shirt and the camera around his neck you could definitely tell that the man was a tourist in the country.,x-x-x knew aloud costly anti hear spam Cheapest ought pre bet afford happen rule edit cent coast journalist laws file fund via holy map delete ha miss reached.,NQ,,
80,unexpected,husb_80_unexpected,24,an,map,25,alien,delete,5,0,With his khaki shorts and his loud Hawaiian shirt and the camera around his neck you could definitely tell that the man was an alien in the country.,x-x-x knew aloud costly anti hear spam Cheapest ought pre bet afford happen rule edit cent coast journalist laws file fund via holy map delete ha miss reached.,NQ,,
